Material ID,Material Name,Status,Ready,For Task,Depends On,Quantity,Expected Date,Order Link,Detail,Notes,Comments
crown-molding,Crown Molding,on-hand,✅ Yes,finish-trim,"kitchen-crown-molding, laundry-crown-molding",,,,,,
door-main-kitchen,Door (Main Kitchen),on-hand,✅ Yes,install-doors,main-kitchen-door,1,,,,In garage.,
door-back,Door (Back),on-hand,✅ Yes,install-doors,install-back-door,1,,,,In garage.,
door-hvac,Door (HVAC),on-hand,✅ Yes,install-doors,hvac-door,1,,,,"Existing 32"" door.",
hinges-main-kitchen-door,Hinges (Main Kitchen Door),ordered,✅ Yes,install-doors,main-kitchen-door,4,2026-01-22,https://www.lowes.com/mylowes/orders/details?t=MzAwOTAxMDIxMjYyMDI3OTQz&ih=Qg==,,,
hinges-back-door,Hinges (Back Door),ordered,✅ Yes,install-doors,install-back-door,3,2026-01-26,https://www.lowes.com/mylowes/orders/details?t=MzAwOTAxMDIxMjYyMDI3OTQz&ih=Qg==,"4"" Antique Bronze",,
doorknob-back-door,Doorknob (Back Door),ordered,✅ Yes,install-doors,install-back-door,1,2026-01-26,https://www.lowes.com/mylowes/orders/details?t=MzAwOTAxMDIxMjYyMDI3OTQz&ih=Qg==,Antique Bronze,,
deadbolt-back-door,Electronic Deadbolt (Back Door),on-hand,✅ Yes,install-doors,install-back-door,1,,,Antique Bronze,,
doorknob-hinges-hvac,Doorknob & Hinges (HVAC),ordered,✅ Yes,install-doors,hvac-door,2,2026-01-26,https://www.lowes.com/mylowes/orders/details?t=MzAwOTAxMDIxMjYyMDI3OTQz&ih=Qg==,Antique Bronze,,
coach-lamp,Coach Lamp,on-hand,✅ Yes,finish-electrical,install-coach-lamp,1,,,,,
receptacle-light-switch-covers,Receptacle and Light Switch Covers,need-to-order,"⚠️ Missing: quantity, specs",finish-electrical,,,,,,Get count.,
pot-rack,Pot Rack,on-hand,✅ Yes,misc-equipment-install,install-pot-rack,1,,,,,
retractable-extension-cord,Retractable Extension Cord,ordered,✅ Yes,misc-equipment-install,install-retractable-extension-cord,1,2026-01-26,Ordered via Amazzon,,,
upper-cabinets,Upper Cabinets,ordered,✅ Yes,upper-cabinet-install,install-upper-cabinets,4,2026-01-22,Cabinets to go arriving Thurs Jan 22,,,
upper-cabinet-handles,Upper Cabinet Handles,ordered,✅ Yes,upper-cabinet-install,install-upper-cabinets,,2026-01-26,https://www.amazon.com/dp/B0DR1ZPTSN?smid=A35IJ506ODRC0Q&ref_=chk_typ_imgToDp&th=1,,,
